GroupID,pleasant,eventful,chaotic,vibrant,uneventful,calm,annoying,monotonous
MC105,2.3022552,2.8690774,2.847189,2.669941,2.3948631,2.0157151,2.9447026,2.5169916
MC106,2.0285728,2.901406,3.1662462,2.5653837,2.4969304,1.7759663,3.3864298,2.7049575
MC108,2.2480824,2.7244778,2.8012052,2.5295634,2.4957337,2.0178344,2.95883,2.6219523
MC110,2.0742242,2.4716837,2.8534627,2.2246833,2.7916126,1.9763365,3.2296972,2.9353065
MC111,2.1169453,2.660015,2.9396877,2.3991046,2.6657581,1.9464309,3.2238193,2.8266604
MC112,2.1139941,3.1420958,3.0631351,2.8529377,1.9878811,1.700633,3.0607214,2.1451507
MC114,2.0980074,2.7414348,2.9078686,2.4916458,2.4392638,1.8577386,3.0845585,2.6022632
MC115,2.065555,2.880126,3.081387,2.5750785,2.44244,1.8000481,3.2640448,2.637333
MC116,2.0895028,2.941304,2.9590673,2.6804268,2.14605,1.7483382,3.0107884,2.3110394
MC118,2.1587255,2.433602,2.8040984,2.2185342,2.8869195,2.0844865,3.177514,3.01909
MC119,2.182865,2.6493242,2.803252,2.441945,2.5350957,1.9823892,3.0151334,2.6627548
MC120,2.1744618,2.7476616,2.7331228,2.5587459,2.2193499,1.8935726,2.838265,2.3124542
MC121,2.3548994,2.8318849,2.8138096,2.6488757,2.4590394,2.0948339,2.961287,2.541953
MC122,2.1312733,2.7002962,2.8209827,2.479965,2.4058433,1.8940269,2.9800105,2.5491934
MC127,2.232463,2.7180622,2.887411,2.4947596,2.6345167,2.0348172,3.1059918,2.7773044
MC129,2.525034,2.7017586,2.6296086,2.6033344,2.6180766,2.3129296,2.7606869,2.6758814
MC203,2.6312952,2.3259802,2.5539026,2.268,3.2826486,2.6522098,2.9315057,3.3150244
MC204,2.2961478,2.5394018,2.7998042,2.3530405,2.879332,2.1913557,3.106976,2.9998844
MC206,2.5152686,2.3768053,2.541534,2.3036284,3.0171862,2.4702554,2.8415415,3.0640726
MC207,2.306704,2.6333287,2.6720247,2.489963,2.4980664,2.0984178,2.8173323,2.591045
MC301,2.419854,2.3542545,2.52698,2.2665539,2.9096317,2.3539362,2.8220978,2.9667568
MC302,2.5908947,2.2449257,2.4998608,2.1944017,3.2730112,2.6304636,2.8970833,3.3000228
MC303,2.321413,2.56304,2.7505493,2.3941524,2.7870674,2.1889086,3.0210238,2.8904226
MC307,2.3346853,2.4783885,2.7152653,2.3197317,2.8944674,2.2463422,3.032031,2.9885974
MC308,2.2991955,2.4649708,2.6938214,2.2980585,2.838852,2.20353,3.0443358,2.9106522
MC309,2.2578442,2.4324114,2.6363206,2.2824836,2.736124,2.145856,2.9230275,2.8265424
MC310,2.3067021,2.475066,2.7133884,2.3137789,2.8600695,2.2117882,3.0192037,2.960711
MC311,2.0375733,2.6930325,3.097105,2.374949,2.7634196,1.8857046,3.443901,2.9590929
MC312,2.3233342,2.6003678,2.688778,2.4439569,2.6218982,2.1485567,2.9190807,2.6990805
MC316,2.2489448,2.645794,2.8123853,2.4472997,2.6534483,2.072305,3.040483,2.779698
MC317,2.006686,2.6780427,2.905016,2.4109173,2.408864,1.786911,3.1210155,2.5689795
MC318,1.9774348,2.7122045,3.0919096,2.3854036,2.633112,1.7993901,3.4047017,2.832178
MC319,2.2679722,2.4666681,2.7075417,2.297142,2.8269653,2.1625595,3.0165095,2.937862
MC320,2.4237745,2.5001125,2.5557537,2.3999028,2.724553,2.2785563,2.779108,2.7854023
MC321,2.5026793,2.6220624,2.6931214,2.5017903,2.8290648,2.362712,2.9242718,2.8924804
MC323,1.9561727,2.8088224,3.1831255,2.448061,2.5848703,1.7539083,3.497055,2.7876678
MC324,2.1098163,2.468317,2.8024523,2.2452717,2.7581735,2.0008483,3.1410236,2.8962913
MC325,2.184775,2.8464327,3.0216978,2.5781386,2.5678835,1.9476681,3.2212548,2.7375917
